"identifier","setSpec","id","repository"
"oai:edshare.soton.ac.uk:358","6469766973696F6E733D756F732D66616337:756F732D6670","55069","16"
"oai:edshare.soton.ac.uk:358","74797065733D7265736F75726365","55070","16"
"oai:edshare.soton.ac.uk:363","6469766973696F6E733D756F732D66616332:756F732D6668","55071","16"
"oai:edshare.soton.ac.uk:363","74797065733D7265736F75726365","55072","16"
"oai:edshare.soton.ac.uk:372","6469766973696F6E733D756F732D706B:756F732D6B78","55073","16"
"oai:edshare.soton.ac.uk:372","74797065733D7265736F75726365","55074","16"
"oai:edshare.soton.ac.uk:373","6469766973696F6E733D756F732D706B:756F732D6B78","55075","16"
"oai:edshare.soton.ac.uk:373","74797065733D7265736F75726365","55076","16"
"oai:edshare.soton.ac.uk:375","6469766973696F6E733D756F732D66616337:756F732D6670","55077","16"
"oai:edshare.soton.ac.uk:375","74797065733D7265736F75726365","55078","16"
"oai:edshare.soton.ac.uk:376","6469766973696F6E733D756F732D66616337:756F732D6670","55079","16"
"oai:edshare.soton.ac.uk:376","74797065733D7265736F75726365","55080","16"
"oai:edshare.soton.ac.uk:377","6469766973696F6E733D756F732D66616337:756F732D6670","55081","16"
"oai:edshare.soton.ac.uk:377","74797065733D7265736F75726365","55082","16"
"oai:edshare.soton.ac.uk:378","6469766973696F6E733D756F732D66616337:756F732D6670","55083","16"
"oai:edshare.soton.ac.uk:378","74797065733D7265736F75726365","55084","16"
"oai:edshare.soton.ac.uk:379","6469766973696F6E733D756F732D66616337:756F732D6670","55085","16"
"oai:edshare.soton.ac.uk:379","74797065733D7265736F75726365","55086","16"
"oai:edshare.soton.ac.uk:380","6469766973696F6E733D756F732D66616337:756F732D6670","55087","16"
"oai:edshare.soton.ac.uk:380","74797065733D7265736F75726365","55088","16"
"oai:edshare.soton.ac.uk:381","6469766973696F6E733D756F732D66616337:756F732D6670","55089","16"
"oai:edshare.soton.ac.uk:381","74797065733D7265736F75726365","55090","16"
"oai:edshare.soton.ac.uk:383","6469766973696F6E733D756F732D66616337:756F732D6670","55091","16"
"oai:edshare.soton.ac.uk:383","74797065733D7265736F75726365","55092","16"
"oai:edshare.soton.ac.uk:385","6469766973696F6E733D756F732D66616337:756F732D6670","55093","16"
"oai:edshare.soton.ac.uk:385","74797065733D7265736F75726365","55094","16"
"oai:edshare.soton.ac.uk:386","6469766973696F6E733D756F732D66616337:756F732D6670","55095","16"
"oai:edshare.soton.ac.uk:386","74797065733D7265736F75726365","55096","16"
"oai:edshare.soton.ac.uk:387","6469766973696F6E733D756F732D66616337:756F732D6670","55097","16"
"oai:edshare.soton.ac.uk:387","74797065733D7265736F75726365","55098","16"
"oai:edshare.soton.ac.uk:388","6469766973696F6E733D756F732D66616337:756F732D6670","55099","16"
"oai:edshare.soton.ac.uk:388","74797065733D7265736F75726365","55100","16"
"oai:edshare.soton.ac.uk:389","6469766973696F6E733D756F732D66616337:756F732D6670","55101","16"
"oai:edshare.soton.ac.uk:389","74797065733D7265736F75726365","55102","16"
"oai:edshare.soton.ac.uk:390","6469766973696F6E733D756F732D66616337:756F732D6670","55103","16"
"oai:edshare.soton.ac.uk:390","74797065733D7265736F75726365","55104","16"
"oai:edshare.soton.ac.uk:392","6469766973696F6E733D756F732D66616337:756F732D6670","55105","16"
"oai:edshare.soton.ac.uk:392","74797065733D7265736F75726365","55106","16"
"oai:edshare.soton.ac.uk:393","6469766973696F6E733D756F732D66616334:756F732D6562","55107","16"
"oai:edshare.soton.ac.uk:393","74797065733D7265736F75726365","55108","16"
"oai:edshare.soton.ac.uk:394","6469766973696F6E733D756F732D66616334:756F732D6562","55109","16"
"oai:edshare.soton.ac.uk:394","74797065733D7265736F75726365","55110","16"
"oai:edshare.soton.ac.uk:395","6469766973696F6E733D756F732D66616334:756F732D6562","55111","16"
"oai:edshare.soton.ac.uk:395","74797065733D7265736F75726365","55112","16"
"oai:edshare.soton.ac.uk:396","6469766973696F6E733D756F732D66616334:756F732D6562","55113","16"
"oai:edshare.soton.ac.uk:396","74797065733D7265736F75726365","55114","16"
"oai:edshare.soton.ac.uk:399","6469766973696F6E733D756F732D66616334:756F732D6562","55115","16"
"oai:edshare.soton.ac.uk:399","74797065733D7265736F75726365","55116","16"
"oai:edshare.soton.ac.uk:400","6469766973696F6E733D756F732D66616334:756F732D6562","55117","16"
"oai:edshare.soton.ac.uk:400","74797065733D7265736F75726365","55118","16"
"oai:edshare.soton.ac.uk:417","6469766973696F6E733D756F732D66616337:756F732D6670","55119","16"
"oai:edshare.soton.ac.uk:417","74797065733D7265736F75726365","55120","16"
"oai:edshare.soton.ac.uk:421","6469766973696F6E733D756F732D66616334:756F732D6562","55121","16"
"oai:edshare.soton.ac.uk:421","74797065733D7265736F75726365","55122","16"
"oai:edshare.soton.ac.uk:422","6469766973696F6E733D756F732D66616334:756F732D6562","55123","16"
"oai:edshare.soton.ac.uk:422","74797065733D7265736F75726365","55124","16"
"oai:edshare.soton.ac.uk:423","6469766973696F6E733D756F732D66616334:756F732D6562","55125","16"
"oai:edshare.soton.ac.uk:423","74797065733D7265736F75726365","55126","16"
"oai:edshare.soton.ac.uk:428","6469766973696F6E733D756F732D706B:756F732D6B78","55127","16"
"oai:edshare.soton.ac.uk:428","74797065733D7265736F75726365","55128","16"
"oai:edshare.soton.ac.uk:429","6469766973696F6E733D756F732D66616337:756F732D6670","55129","16"
"oai:edshare.soton.ac.uk:429","74797065733D7265736F75726365","55130","16"
"oai:edshare.soton.ac.uk:449","6469766973696F6E733D756F732D66616337:756F732D6670","55131","16"
"oai:edshare.soton.ac.uk:449","74797065733D7265736F75726365","55132","16"
"oai:edshare.soton.ac.uk:450","6469766973696F6E733D756F732D66616337:756F732D6670","55133","16"
"oai:edshare.soton.ac.uk:450","74797065733D7265736F75726365","55134","16"
"oai:edshare.soton.ac.uk:451","6469766973696F6E733D756F732D66616337:756F732D6670","55135","16"
